algoritmo,tamano_matriz,hilos,iteracion,tiempo_us
mmClasicaFork,1000,1,1,1044830
mmClasicaFork,1000,1,2,1040126
mmClasicaFork,1000,1,3,1053666
mmClasicaFork,1000,1,4,1032342
mmClasicaFork,1000,1,5,1066039
mmClasicaFork,1000,1,6,1100895
mmClasicaFork,1000,1,7,1049571
mmClasicaFork,1000,1,8,1052451
mmClasicaFork,1000,1,9,1055445
mmClasicaFork,1000,1,10,1041649
mmClasicaFork,1000,1,11,1040190
mmClasicaFork,1000,1,12,1060250
mmClasicaFork,1000,1,13,1043389
mmClasicaFork,1000,1,14,1048942
mmClasicaFork,1000,1,15,1035363
mmClasicaFork,1000,1,16,1040227
mmClasicaFork,1000,1,17,1039397
mmClasicaFork,1000,1,18,1080982
mmClasicaFork,1000,1,19,1065464
mmClasicaFork,1000,1,20,1054420
mmClasicaFork,1000,1,21,1053038
mmClasicaFork,1000,1,22,1070415
mmClasicaFork,1000,1,23,1077068
mmClasicaFork,1000,1,24,1091783
mmClasicaFork,1000,1,25,1055931
mmClasicaFork,1000,1,26,1043939
mmClasicaFork,1000,1,27,1063696
mmClasicaFork,1000,1,28,1065119
mmClasicaFork,1000,1,29,1068035
mmClasicaFork,1000,1,30,1069397
mmClasicaFork,1000,2,1,590153
mmClasicaFork,1000,2,2,558444
mmClasicaFork,1000,2,3,548882
mmClasicaFork,1000,2,4,568302
mmClasicaFork,1000,2,5,568330
mmClasicaFork,1000,2,6,545948
mmClasicaFork,1000,2,7,545959
mmClasicaFork,1000,2,8,544319
mmClasicaFork,1000,2,9,547936
mmClasicaFork,1000,2,10,552503
mmClasicaFork,1000,2,11,584007
mmClasicaFork,1000,2,12,572155
mmClasicaFork,1000,2,13,553408
mmClasicaFork,1000,2,14,548032
mmClasicaFork,1000,2,15,546694
mmClasicaFork,1000,2,16,552225
mmClasicaFork,1000,2,17,545676
mmClasicaFork,1000,2,18,559106
mmClasicaFork,1000,2,19,562094
mmClasicaFork,1000,2,20,549022
mmClasicaFork,1000,2,21,554065
mmClasicaFork,1000,2,22,550295
mmClasicaFork,1000,2,23,557048
mmClasicaFork,1000,2,24,551833
mmClasicaFork,1000,2,25,551150
mmClasicaFork,1000,2,26,554937
mmClasicaFork,1000,2,27,561547
mmClasicaFork,1000,2,28,555387
mmClasicaFork,1000,2,29,552086
mmClasicaFork,1000,2,30,556998
mmClasicaFork,1000,3,1,386175
mmClasicaFork,1000,3,2,384903
mmClasicaFork,1000,3,3,387651
mmClasicaFork,1000,3,4,385926
mmClasicaFork,1000,3,5,384416
mmClasicaFork,1000,3,6,386622
mmClasicaFork,1000,3,7,379956
mmClasicaFork,1000,3,8,381171
mmClasicaFork,1000,3,9,390597
mmClasicaFork,1000,3,10,377596
mmClasicaFork,1000,3,11,390305
mmClasicaFork,1000,3,12,388953
mmClasicaFork,1000,3,13,384716
mmClasicaFork,1000,3,14,378172
mmClasicaFork,1000,3,15,391746
mmClasicaFork,1000,3,16,375687
mmClasicaFork,1000,3,17,383105
mmClasicaFork,1000,3,18,389305
mmClasicaFork,1000,3,19,389604
