algoritmo,tamano_matriz,hilos,iteracion,tiempo_us
mmClasicaFork,1000,1,1,5164461
mmClasicaFork,1000,1,2,4921980
mmClasicaFork,1000,1,3,4678806
mmClasicaFork,1000,1,4,4396749
mmClasicaFork,1000,1,5,4051431
mmClasicaFork,1000,1,6,4849513
mmClasicaFork,1000,1,7,4870448
mmClasicaFork,1000,1,8,4592354
mmClasicaFork,1000,1,9,4927309
mmClasicaFork,1000,1,10,4835972
mmClasicaFork,1000,1,11,4384474
mmClasicaFork,1000,1,12,4475012
mmClasicaFork,1000,1,13,4411205
mmClasicaFork,1000,1,14,4396029
mmClasicaFork,1000,1,15,4321254
mmClasicaFork,1000,1,16,4405838
mmClasicaFork,1000,1,17,5144994
mmClasicaFork,1000,1,18,5058913
mmClasicaFork,1000,1,19,4233978
mmClasicaFork,1000,1,20,4732203
mmClasicaFork,1000,1,21,4387324
mmClasicaFork,1000,1,22,4381145
mmClasicaFork,1000,1,23,4885244
mmClasicaFork,1000,1,24,4360086
mmClasicaFork,1000,1,25,4429234
mmClasicaFork,1000,1,26,3996596
mmClasicaFork,1000,1,27,4307183
mmClasicaFork,1000,1,28,4565466
mmClasicaFork,1000,1,29,4318495
mmClasicaFork,1000,1,30,4613284
mmClasicaFork,1000,2,1,2190905
mmClasicaFork,1000,2,2,2420066
mmClasicaFork,1000,2,3,2267815
mmClasicaFork,1000,2,4,2489108
mmClasicaFork,1000,2,5,2335206
mmClasicaFork,1000,2,6,2431141
mmClasicaFork,1000,2,7,2243253
mmClasicaFork,1000,2,8,2597104
mmClasicaFork,1000,2,9,2284176
mmClasicaFork,1000,2,10,2309325
mmClasicaFork,1000,2,11,2507115
mmClasicaFork,1000,2,12,2559453
mmClasicaFork,1000,2,13,2454371
mmClasicaFork,1000,2,14,2375929
mmClasicaFork,1000,2,15,2243182
mmClasicaFork,1000,2,16,2449512
mmClasicaFork,1000,2,17,2291500
mmClasicaFork,1000,2,18,2397479
mmClasicaFork,1000,2,19,2291431
mmClasicaFork,1000,2,20,2834486
mmClasicaFork,1000,2,21,2208270
mmClasicaFork,1000,2,22,2464288
mmClasicaFork,1000,2,23,2229699
mmClasicaFork,1000,2,24,2457310
mmClasicaFork,1000,2,25,2571448
mmClasicaFork,1000,2,26,2677611
mmClasicaFork,1000,2,27,2291433
mmClasicaFork,1000,2,28,2302036
mmClasicaFork,1000,2,29,2423735
mmClasicaFork,1000,2,30,2414853
mmClasicaFork,1000,3,1,1799895
mmClasicaFork,1000,3,2,1486723
mmClasicaFork,1000,3,3,1663323
mmClasicaFork,1000,3,4,1486653
mmClasicaFork,1000,3,5,1538833
mmClasicaFork,1000,3,6,1462964
mmClasicaFork,1000,3,7,1604976
mmClasicaFork,1000,3,8,1650923
mmClasicaFork,1000,3,9,1532496
mmClasicaFork,1000,3,10,1500677
mmClasicaFork,1000,3,11,1694941
mmClasicaFork,1000,3,12,1632306
mmClasicaFork,1000,3,13,1553558
mmClasicaFork,1000,3,14,1542137
mmClasicaFork,1000,3,15,1573604
mmClasicaFork,1000,3,16,1489236
mmClasicaFork,1000,3,17,1433579
mmClasicaFork,1000,3,18,1367247
mmClasicaFork,1000,3,19,1452177
mmClasicaFork,1000,3,20,1360067
mmClasicaFork,1000,3,21,1532237
mmClasicaFork,1000,3,22,1344287
mmClasicaFork,1000,3,23,1462082
mmClasicaFork,1000,3,24,1422572
mmClasicaFork,1000,3,25,1430496
mmClasicaFork,1000,3,26,1479350
mmClasicaFork,1000,3,27,1439421
mmClasicaFork,1000,3,28,1570624
mmClasicaFork,1000,3,29,1526506
mmClasicaFork,1000,3,30,1661020
mmClasicaFork,1000,4,1,1184915
mmClasicaFork,1000,4,2,1165617
mmClasicaFork,1000,4,3,1166431
mmClasicaFork,1000,4,4,1491977
mmClasicaFork,1000,4,5,1126328
mmClasicaFork,1000,4,6,1204417
mmClasicaFork,1000,4,7,1171369
mmClasicaFork,1000,4,8,1220325
mmClasicaFork,1000,4,9,1126727
mmClasicaFork,1000,4,10,1179723
mmClasicaFork,1000,4,11,1192717
mmClasicaFork,1000,4,12,1123698
mmClasicaFork,1000,4,13,1178156
mmClasicaFork,1000,4,14,1183502
mmClasicaFork,1000,4,15,1248110
mmClasicaFork,1000,4,16,1177959
mmClasicaFork,1000,4,17,1202187
mmClasicaFork,1000,4,18,1272154
mmClasicaFork,1000,4,19,1526524
mmClasicaFork,1000,4,20,1150981
mmClasicaFork,1000,4,21,1143566
mmClasicaFork,1000,4,22,1111236
mmClasicaFork,1000,4,23,1214528
mmClasicaFork,1000,4,24,1202477
mmClasicaFork,1000,4,25,1154075
mmClasicaFork,1000,4,26,1159412
mmClasicaFork,1000,4,27,1161465
mmClasicaFork,1000,4,28,1163608
mmClasicaFork,1000,4,29,1125664
mmClasicaFork,1000,4,30,1183427
mmClasicaFork,1000,5,1,1193182
mmClasicaFork,1000,5,2,1348608
mmClasicaFork,1000,5,3,1161016
mmClasicaFork,1000,5,4,1294811
mmClasicaFork,1000,5,5,1568208
mmClasicaFork,1000,5,6,1215076
mmClasicaFork,1000,5,7,1226713
mmClasicaFork,1000,5,8,1233593
mmClasicaFork,1000,5,9,1174567
mmClasicaFork,1000,5,10,1336608
mmClasicaFork,1000,5,11,1184420
mmClasicaFork,1000,5,12,1192790
mmClasicaFork,1000,5,13,1199564
mmClasicaFork,1000,5,14,1167726
mmClasicaFork,1000,5,15,1220658
mmClasicaFork,1000,5,16,1149783
mmClasicaFork,1000,5,17,1175796
mmClasicaFork,1000,5,18,1205829
mmClasicaFork,1000,5,19,1264606
mmClasicaFork,1000,5,20,1326248
mmClasicaFork,1000,5,21,1149749
mmClasicaFork,1000,5,22,1213869
mmClasicaFork,1000,5,23,1166916
mmClasicaFork,1000,5,24,1170181
mmClasicaFork,1000,5,25,1148922
mmClasicaFork,1000,5,26,1264677
mmClasicaFork,1000,5,27,1359926
mmClasicaFork,1000,5,28,1257081
mmClasicaFork,1000,5,29,1165266
mmClasicaFork,1000,5,30,1201264
mmClasicaFork,1000,6,1,1297256
mmClasicaFork,1000,6,2,1241326
mmClasicaFork,1000,6,3,1281132
mmClasicaFork,1000,6,4,1488654
mmClasicaFork,1000,6,5,1182703
mmClasicaFork,1000,6,6,1166604
mmClasicaFork,1000,6,7,1301021
mmClasicaFork,1000,6,8,1323242
mmClasicaFork,1000,6,9,1317608
mmClasicaFork,1000,6,10,1279898
mmClasicaFork,1000,6,11,1199854
mmClasicaFork,1000,6,12,1254763
mmClasicaFork,1000,6,13,1249603
mmClasicaFork,1000,6,14,1328907
mmClasicaFork,1000,6,15,1202939
mmClasicaFork,1000,6,16,1275042
mmClasicaFork,1000,6,17,1178100
mmClasicaFork,1000,6,18,1314386
mmClasicaFork,1000,6,19,1166012
mmClasicaFork,1000,6,20,1275662
mmClasicaFork,1000,6,21,1321295
mmClasicaFork,1000,6,22,1250231
mmClasicaFork,1000,6,23,1317073
mmClasicaFork,1000,6,24,1182685
mmClasicaFork,1000,6,25,1247171
mmClasicaFork,1000,6,26,1254517
mmClasicaFork,1000,6,27,1313475
mmClasicaFork,1000,6,28,1231208
mmClasicaFork,1000,6,29,1301339
mmClasicaFork,1000,6,30,1242049
mmClasicaFork,1000,7,1,1175604
mmClasicaFork,1000,7,2,1186336
mmClasicaFork,1000,7,3,1336869
mmClasicaFork,1000,7,4,1210942
mmClasicaFork,1000,7,5,1240808
mmClasicaFork,1000,7,6,1227037
mmClasicaFork,1000,7,7,1195126
mmClasicaFork,1000,7,8,1159071
mmClasicaFork,1000,7,9,1196465
mmClasicaFork,1000,7,10,1119550
mmClasicaFork,1000,7,11,1240374
mmClasicaFork,1000,7,12,1183628
mmClasicaFork,1000,7,13,1429660
mmClasicaFork,1000,7,14,1478984
mmClasicaFork,1000,7,15,1577696
mmClasicaFork,1000,7,16,1522795
mmClasicaFork,1000,7,17,1607179
mmClasicaFork,1000,7,18,1191684
mmClasicaFork,1000,7,19,1172081
mmClasicaFork,1000,7,20,1203480
mmClasicaFork,1000,7,21,1219915
mmClasicaFork,1000,7,22,1217564
mmClasicaFork,1000,7,23,1223876
mmClasicaFork,1000,7,24,1183650
mmClasicaFork,1000,7,25,1189994
mmClasicaFork,1000,7,26,1186518
mmClasicaFork,1000,7,27,1197121
mmClasicaFork,1000,7,28,1144980
mmClasicaFork,1000,7,29,1170430
mmClasicaFork,1000,7,30,1190816
mmClasicaFork,1500,1,1,22551931
mmClasicaFork,1500,1,2,19935449
mmClasicaFork,1500,1,3,19301901
mmClasicaFork,1500,1,4,20458147
mmClasicaFork,1500,1,5,20118523
mmClasicaFork,1500,1,6,21191889
mmClasicaFork,1500,1,7,20636762
mmClasicaFork,1500,1,8,20368203
mmClasicaFork,1500,1,9,17787103
mmClasicaFork,1500,1,10,19209326
mmClasicaFork,1500,1,11,21300548
mmClasicaFork,1500,1,12,21075590
mmClasicaFork,1500,1,13,22545304
mmClasicaFork,1500,1,14,21323210
mmClasicaFork,1500,1,15,20373884
mmClasicaFork,1500,1,16,20597784
mmClasicaFork,1500,1,17,20972034
mmClasicaFork,1500,1,18,20749232
mmClasicaFork,1500,1,19,20816029
mmClasicaFork,1500,1,20,21815832
mmClasicaFork,1500,1,21,20809670
mmClasicaFork,1500,1,22,21513021
mmClasicaFork,1500,1,23,21024212
mmClasicaFork,1500,1,24,21318474
mmClasicaFork,1500,1,25,20390365
mmClasicaFork,1500,1,26,21093304
mmClasicaFork,1500,1,27,20127909
mmClasicaFork,1500,1,28,17124003
mmClasicaFork,1500,1,29,17347653
mmClasicaFork,1500,1,30,20598912
mmClasicaFork,1500,2,1,10990402
mmClasicaFork,1500,2,2,9035426
mmClasicaFork,1500,2,3,10435978
mmClasicaFork,1500,2,4,9878500
mmClasicaFork,1500,2,5,10374465
mmClasicaFork,1500,2,6,10585532
mmClasicaFork,1500,2,7,10382496
mmClasicaFork,1500,2,8,10488466
mmClasicaFork,1500,2,9,10611416
mmClasicaFork,1500,2,10,10434703
mmClasicaFork,1500,2,11,10126124
mmClasicaFork,1500,2,12,10230377
mmClasicaFork,1500,2,13,10326820
mmClasicaFork,1500,2,14,11064002
mmClasicaFork,1500,2,15,9803083
mmClasicaFork,1500,2,16,10627597
mmClasicaFork,1500,2,17,10429408
mmClasicaFork,1500,2,18,9939410
mmClasicaFork,1500,2,19,10428793
mmClasicaFork,1500,2,20,10323333
mmClasicaFork,1500,2,21,10615550
mmClasicaFork,1500,2,22,10278209
mmClasicaFork,1500,2,23,10582349
mmClasicaFork,1500,2,24,10571760
mmClasicaFork,1500,2,25,10627585
mmClasicaFork,1500,2,26,10578524
mmClasicaFork,1500,2,27,10602314
mmClasicaFork,1500,2,28,10519140
mmClasicaFork,1500,2,29,10445679
mmClasicaFork,1500,2,30,10295901
mmClasicaFork,1500,3,1,6462939
mmClasicaFork,1500,3,2,7067566
mmClasicaFork,1500,3,3,6709609
mmClasicaFork,1500,3,4,6677416
mmClasicaFork,1500,3,5,6591554
mmClasicaFork,1500,3,6,6464497
mmClasicaFork,1500,3,7,7251186
mmClasicaFork,1500,3,8,6364770
mmClasicaFork,1500,3,9,6374070
mmClasicaFork,1500,3,10,6191716
mmClasicaFork,1500,3,11,6274704
mmClasicaFork,1500,3,12,6180675
mmClasicaFork,1500,3,13,5900905
mmClasicaFork,1500,3,14,6385632
mmClasicaFork,1500,3,15,6212678
mmClasicaFork,1500,3,16,6396073
mmClasicaFork,1500,3,17,6980095
mmClasicaFork,1500,3,18,6260812
mmClasicaFork,1500,3,19,6437642
mmClasicaFork,1500,3,20,6341767
mmClasicaFork,1500,3,21,6741604
mmClasicaFork,1500,3,22,6507192
mmClasicaFork,1500,3,23,6698214
mmClasicaFork,1500,3,24,6356609
mmClasicaFork,1500,3,25,6261362
mmClasicaFork,1500,3,26,6665386
mmClasicaFork,1500,3,27,6395413
mmClasicaFork,1500,3,28,6236215
mmClasicaFork,1500,3,29,6357226
mmClasicaFork,1500,3,30,6301509
mmClasicaFork,1500,4,1,4972606
mmClasicaFork,1500,4,2,4722899
mmClasicaFork,1500,4,3,4776770
mmClasicaFork,1500,4,4,4528164
mmClasicaFork,1500,4,5,4762543
mmClasicaFork,1500,4,6,4544465
mmClasicaFork,1500,4,7,4566045
mmClasicaFork,1500,4,8,4670351
mmClasicaFork,1500,4,9,4969754
mmClasicaFork,1500,4,10,4653162
mmClasicaFork,1500,4,11,4431997
mmClasicaFork,1500,4,12,4744369
mmClasicaFork,1500,4,13,4722056
mmClasicaFork,1500,4,14,4578570
mmClasicaFork,1500,4,15,4697244
mmClasicaFork,1500,4,16,4567433
mmClasicaFork,1500,4,17,4608908
mmClasicaFork,1500,4,18,4111463
mmClasicaFork,1500,4,19,4661355
mmClasicaFork,1500,4,20,4704916
mmClasicaFork,1500,4,21,4613535
mmClasicaFork,1500,4,22,4930192
mmClasicaFork,1500,4,23,4597111
mmClasicaFork,1500,4,24,4639933
mmClasicaFork,1500,4,25,4618381
mmClasicaFork,1500,4,26,4504822
mmClasicaFork,1500,4,27,3890716
mmClasicaFork,1500,4,28,3948191
mmClasicaFork,1500,4,29,4084972
mmClasicaFork,1500,4,30,4930854
mmClasicaFork,1500,5,1,4499404
mmClasicaFork,1500,5,2,3285989
mmClasicaFork,1500,5,3,4215441
mmClasicaFork,1500,5,4,4424573
mmClasicaFork,1500,5,5,4788212
mmClasicaFork,1500,5,6,4681058
mmClasicaFork,1500,5,7,4542968
mmClasicaFork,1500,5,8,4253718
mmClasicaFork,1500,5,9,4773147
mmClasicaFork,1500,5,10,4291052
mmClasicaFork,1500,5,11,4663948
mmClasicaFork,1500,5,12,4543899
mmClasicaFork,1500,5,13,5081465
mmClasicaFork,1500,5,14,4716452
mmClasicaFork,1500,5,15,4554142
mmClasicaFork,1500,5,16,4378137
mmClasicaFork,1500,5,17,4986239
mmClasicaFork,1500,5,18,4528957
mmClasicaFork,1500,5,19,4433276
